GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-orcamento,com.grafica.controller,EscalaProdutivaController.Intervalo,12,0,0,0,5,0,1,0,1,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new TableCell() {...},54,0,2,0,11,0,4,0,3,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new TableCell() {...},23,0,4,0,4,0,4,0,2,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new ListCell() {...},18,0,4,0,4,0,4,0,2,0
sistema-orcamento,com.grafica.controller,DashboardController.new TableCell() {...},57,0,6,0,13,0,6,0,3,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new StringConverter() {...},12,0,2,0,3,0,4,0,3,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new ListCell() {...},18,0,4,0,4,0,4,0,2,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new ListCell() {...},21,0,4,0,4,0,4,0,2,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new StringConverter() {...},12,0,2,0,3,0,4,0,3,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new ListCell() {...},23,0,4,0,4,0,4,0,2,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new StringConverter() {...},12,0,2,0,3,0,4,0,3,0
sistema-orcamento,com.grafica.controller,ProdutoController.new TableCell() {...},52,0,4,0,11,0,5,0,3,0
sistema-orcamento,com.grafica.controller,ProdutoController.new TableCell() {...},49,0,4,0,11,0,5,0,3,0
sistema-orcamento,com.grafica.controller,ProdutoController.new TableCell() {...},51,0,2,0,7,0,4,0,3,0
sistema-orcamento,com.grafica.controller,ProdutoController.new StringConverter() {...},12,0,2,0,3,0,4,0,3,0
sistema-orcamento,com.grafica.controller,ClienteController,458,0,50,0,115,0,45,0,20,0
sistema-orcamento,com.grafica.controller,ProdutoController,660,0,30,0,139,0,50,0,35,0
sistema-orcamento,com.grafica.controller,GestaoLayoutsController,354,0,14,0,84,0,22,0,15,0
sistema-orcamento,com.grafica.controller,DashboardController.OrcamentoRow,39,0,0,0,14,0,7,0,7,0
sistema-orcamento,com.grafica.controller,MaterialController,548,0,28,0,117,0,32,0,18,0
sistema-orcamento,com.grafica.controller,DashboardController,891,0,106,0,214,0,95,0,40,0
sistema-orcamento,com.grafica.controller,RelatoriosController.RelatorioOrcamentoView,50,0,0,0,9,0,7,0,7,0
sistema-orcamento,com.grafica.controller,RelatoriosController,1257,0,116,0,278,0,101,0,42,0
sistema-orcamento,com.grafica.controller,OrcamentoController.new StringConverter() {...},12,0,2,0,3,0,4,0,3,0
sistema-orcamento,com.grafica.controller,AjustesController,208,0,10,0,47,0,18,0,13,0
sistema-orcamento,com.grafica.controller,MainController,276,0,18,0,76,0,30,0,21,0
sistema-orcamento,com.grafica.controller,GestaoUsuariosController,446,0,42,0,104,0,35,0,14,0
sistema-orcamento,com.grafica.controller,GestaoLayoutsController.new StringConverter() {...},12,0,2,0,3,0,4,0,3,0
sistema-orcamento,com.grafica.controller,GestaoLayoutsController.new TableCell() {...},39,0,4,0,10,0,5,0,3,0
sistema-orcamento,com.grafica.controller,GestaoLayoutsController.new TableCell() {...},55,0,2,0,11,0,4,0,3,0
sistema-orcamento,com.grafica.controller,LoginController,210,0,12,0,50,0,14,0,8,0
sistema-orcamento,com.grafica.controller,VisualizarOrcamentoController,710,0,46,0,163,0,44,0,20,0
sistema-orcamento,com.grafica.controller,EscalaProdutivaController.IntervaloRow,15,0,0,0,6,0,1,0,1,0
sistema-orcamento,com.grafica.controller,OrcamentoController.ItemOrcamentoView,66,0,2,0,20,0,11,0,10,0
sistema-orcamento,com.grafica.controller,CustosInsumosController,797,0,78,0,143,0,64,0,25,0
sistema-orcamento,com.grafica.controller,ClienteController.new TableCell() {...},86,0,12,0,16,0,8,0,2,0
sistema-orcamento,com.grafica.controller,MargensLucroController,568,0,22,0,128,0,25,0,14,0
sistema-orcamento,com.grafica.controller,OrcamentoController,1761,0,150,0,360,0,123,0,48,0
sistema-orcamento,com.grafica.controller,CustosInsumosController.new StringConverter() {...},30,0,2,0,5,0,5,0,4,0
sistema-orcamento,com.grafica.controller,RelatoriosController.new TableCell() {...},35,0,4,0,11,0,4,0,2,0
sistema-orcamento,com.grafica.controller,ConfiguracoesPdfController,395,0,38,0,82,0,29,0,10,0
sistema-orcamento,com.grafica.controller,RelatoriosController.new TableCell() {...},24,0,4,0,4,0,4,0,2,0
sistema-orcamento,com.grafica.controller,RelatoriosController.new TableCell() {...},192,0,6,0,29,0,9,0,6,0
sistema-orcamento,com.grafica.controller,EscalaProdutivaController,705,0,66,0,149,0,55,0,22,0
sistema-orcamento,com.grafica.dao,DbConnection,216,0,16,0,68,0,16,0,8,0
sistema-orcamento,com.grafica.dao,ProdutoAcabamentoDAO,215,0,12,0,69,0,14,0,8,0
sistema-orcamento,com.grafica.dao,CategoriaLucroDAO,226,0,22,0,67,0,17,0,6,0
sistema-orcamento,com.grafica.dao,ConfiguracaoPdfDAO,278,0,14,0,66,0,13,0,6,0
sistema-orcamento,com.grafica.dao,LayoutProdutoDAO,204,0,6,0,56,0,9,0,6,0
sistema-orcamento,com.grafica.dao,ProdutoDAO,218,0,14,0,73,0,15,0,8,0
sistema-orcamento,com.grafica.dao,ClienteDAO,246,0,12,0,76,0,15,0,9,0
sistema-orcamento,com.grafica.dao,MaterialDAO,330,0,22,0,100,0,20,0,9,0
